,Product Name,Price,Rating,About,Top Review
10,"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)","1,099.",3.9 out of 5 stars,"About this item    3 jars liquidizing jar (1.5 liters), dry or wet grinding jar (0.8 liters), chutney jar (0.35 liters)    Operating Voltage: 220 - 240 volts, Frequency: 50Hz 1Phase    The mixer has three blades at the bottom that grinds all your ingredients to a smooth paste or powder ; Revolutions: 18000 RPM ; Material: Stainless Steel    3 speed control motor; Multi-functional blade system    Operating noise levels between 80-90 dB; Initial burning smell is to be expected due to evaporating varnish, which is normal    Lifelong LLMG23 Power Pro Mixer Grinder comes with 1 Year Domestic Warranty from the date of purchase","LIFE LONG, Brand is good product for the price, it provides 3jars, I'm using this from January 2023, the mixer is in good condition but lot of noise.
Read more"
11,"Bajaj PX 97 Torque New 36L Personal Air Cooler for room with DuraMarine™ Pump (2-Yr Warranty by Bajaj), TurboFan Technology, Powerful Air Throw & 3-Speed Control, Portable air cooler for home, White","5,629.",3.6 out of 5 stars,About this item    CATEGORY: AIR COOLER FOR HOME. TYPE: PERSONAL COOLER. WATER TANK CAPACITY: 36 LITRES. AIR FLOW: 30 FEET. COLOUR: WHITE COOLER FOR ROOM.    DuraMarine PUMP: All Bajaj Air Coolers come with DuraMarine Pump has a higher insulation which protects the pump from moisture thus increasing the life. We are now providing with 2-YEAR WARRANTY* ON PUMP by Bajaj Electricals Ltd.    PRODUCT WARRANTY: 1 Year*. DuraMarine PUMP WARRANTY: 2 Years* by Bajaj Electricals Ltd.    ANTI-BACTERIAL HEXACOOL TECHNOLOGY PADS: Safeguard from bacteria and keeps it hygienic. Provide fresher & cleaner air and is malodour resistant. HEXACOOL TECHNOLOGY comes with HEXAGONAL DESIGN cooling media delivering maximum cooling with minimum water consumption.    TURBO FAN TECHNOLOGY: Fan-based cooling experience for better air circulation.    ADJUSTABLE AIR FLOW: 3 SPEED CONTROL to adjust air flow according to requirement. CONVENIENT MOBILITY: CASTOR WHEEL provided for 4-way easy movement.    4-WAY DEFLECTION FOR WIDE AIR SPREAD: Vertical auto-swing with 4-way swing deflection for maximum air spread.    CONSUMER SUPPORT - Reach out to Bajaj Consumer Care for any warranty/installation service. *Terms and conditions Applied.,"I recently purchased the Bajaj PX 97 Torque New 36L Personal Air Cooler, and I must say, it has been an absolute game-changer during these hot summer months. I wanted to take a moment to share my positive experience with this fantastic air cooler.First and foremost, the cooling performance of the Bajaj PX 97 Torque is exceptional. It effectively cools down my room within minutes, creating a comfortable and refreshing environment. The 36-liter water tank capacity ensures continuous cooling for extended periods, making it perfect for both day and night usage.What truly sets this air cooler apart is its advanced technology and smart design. The powerful motor and high-performance fan provide strong airflow, allowing the cool air to reach every corner of the room. The three-sided honeycomb cooling pads maximize cooling efficiency, delivering a consistent and pleasant temperature.I was pleasantly surprised by the energy efficiency of this air cooler. It consumes minimal power while providing superior cooling, making it an eco-friendly choice. The low power consumption also reflects positively on my electricity bill, which is always a plus!The Bajaj PX 97 Torque is incredibly user-friendly. The control panel is straightforward, with easy-to-use buttons and intuitive settings. It also features a handy remote control, allowing me to adjust the cooling settings from the comfort of my bed or couch.The portable nature of this air cooler is another aspect that I love. It comes with sturdy castor wheels, making it effortless to move it around the house. Whether I'm working in my home office, relaxing in the living room, or enjoying some quality time in the bedroom, I can conveniently bring the cooler wherever I go.Lastly, I must mention the excellent customer service provided by Bajaj. They were prompt in addressing my queries and were genuinely committed to ensuring my satisfaction with their product.
Read more"
12,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White","2,279.",4.2 out of 5 stars,"About this item    Wattage: 500 W; Voltage: 220-240V ; Revolution: 20000    No of Jars: 3; Jar Size: 1.20 Litre liquidizing jar, 0.8 Litre multi purpose jar, 0.3 Litre chutney jar; Jar Material: Stainless Steel; Body Material: ABS; Cord Material: PVC; Blade Material: Stainless Steel; Speed Control: 3 speed control with incher for momentary operation    Motor Warranty: 1; Product Warranty: 1    Do not worry if you experience some burning smell when you run your mixer grinder for the 1st time.This is due to the motor varnish getting heated for the 1st timeThe problem should not recur in subsequent uses. If it does, please contact Brand Service Centre; Since your mixer grinder runs on a powerful motor, there will be some noise. If the noise level seems abnormal, please contact Brand Service Centre    Since your mixer grinder runs on a powerful motor, there will be some noise, if noise level seems to be abnormal then please contact brand customer support team; Do not worry if you experience some burning smell when you run your mixer grinder for the 1st time    Sturdy stainless steel jars for liquidizing , wet/dry grinding and chutney making    Easy grip jar handles    Multi-functional blade system. Elegant body design","Thanks Amazon for delivering it fast, 1 less points only for Noise level, if ignored that this is 5 star product.Writing this after approx 1 month of usage, heavy duty, sturdy, good build quality
Read more"
13,USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),549.,3.9 out of 5 stars,About this item    Lightweight for everyday ironing;Black Weilburger Non-stick soleplate glides effortlessly over the fabric    180⁰ swivel cord for easy operation;1.8 m long cord length for better reach; Thermal fuse for overheat cut-off protection;Indicator light for readiness    ISI mark for best product quality and safety of use;Warranty: 2 year warranty    Power: 1100 watts; Operating Voltage: 220 - 240 volts;Includes: 1 unit of product & instruction manual    Material Type: Plastic    Suitable for gifting on Diwali and other special occasions.,"Good light weight
Read more"
14,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop (Black),"3,199.",4.2 out of 5 stars,About this item    Philips Domestic Appliances is Asia’s most trusted brand(As per Research by ibrands360 & WCRCINT. Category: Home Appliances.),"Bought a Philips HD4928/01 induction cooktop that has been working great. I like the product in general however I have encountered a strange problem. The product has stopped working during rains when humidity is high. The buttons do not work and the device cannot be turned on. There is no water spill or splash involved and it seems the product starts working again when it does not rain for a few days.
Read more"
15,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",359.,3.9 out of 5 stars,"About this item    MULTIFUNCTIONAL LAUNDRY BAG - Useful for homes, apartments, bathroom, student's dormitory and hostels. Also help you to store other stuff, such as umbrellas, toys, shoes, etc, Make your room look clean, tidy and save space    Needs no assembly - Folds when not in use. Volume: 75 litre. Package contains 1 Laundry Basket.    FOLDABLE STORAGE CONTAINERS - This box is foldable for space-saving, easy to set up and convenient to carry. Can be folded when not in use    HIGH QUALITY - Made from non-woven fabric with strong durable stitching, which is environmentally friendly, durable, wear and tear-resistant fabric, anti-wrinkle-free, lightweight    Dimension: Length(15)inch x Width(14)inch x Height(21.5)inch","It's good for use but make sure it doesn't falls or gets pressure on it or it will bend. Sometimes the top doesn't attach.otherwise good. 4/5
Read more"
16,Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),699.,4.2 out of 5 stars,"About this item    Filter Type : Spout    Auto cut off facility, Dry Boil Protection: Yes    360 degree swirl base. Power: 1500 watts; Operating Voltage: 220 - 230 volts, 50-60Hz    Convenient grip    Capacity: 1.5 liters , Cord Length : 1 meter    Warranty: 1 year on product    Includes: Water kettle, User manual and Warranty card","Delivered with good packaging. After using for 3 months its still working properly. Very good product at best price.
Read more"
17,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),"1,599.",3.8 out of 5 stars,"About this item    Pigeon Cruise Induction Cooktop Comes with 7 segments LED display for power and temperature. This Induction Stove comes with high-grade electrical that protects against short circuits. It's superior top plate cans with-stand very high temperatures, making it very durable;Smart timer for hands free cooking , Cord length : 1.3 meter. Worktop Material:Carbon Steel, Preset timer - auto switch off , Soft push button, Temperature Control: Manual    Induction Stove comes with 93-percent energy saving technology;Safety Standards: Cruise Induction Stove will start working only when the Induction base Cookware is kept on the top    Included: 1 - Pigeon Cruise Induction Stove and User Manual;Power Input: 220 V and Power Consumption: 1800 Watt    Warranty Description: 1 Year On Product","Using the stove for 3 months. No specific complaints. Doing its duty perfectly.
Read more"
18,"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green","3,299.",4.0 out of 5 stars,"About this item    Only Air Fryer with Appointment Function used to make fried foods such as meat, pastries, and potato chips.    AIR FRYER CAPACITY: 4.2 litre capacity is enough to enjoy your favorite French fries, samosas, and nuggets without having to worry    HEALTHIER FRIED FOOD: Pigeon Healthifry Digital Air Fryer is a tool that is used to cook food with 85% less oil which means with only one spoon of oil, you can cook your favorite food items. 360° HIGH SPEED AIR CIRCULARION TECHNOLOGY: Air fryers work by circulating hot air around a food item to create the same crispiness as traditional fried foods.    POWERFUL 1200 Watts: It heats up very quickly, cook food evenly and swiftly due to the combined presence of a concentrated heat source and the size and placement of the fan.    NON-STICK FOOD BASKET: 4.2 L Food Basket is Non-Stick that will allow food to be brown without sticking to the pan.","When we received it, it was not working at all. We complained it to the appropriate contact persons who were helpful. We had to take the product to service point. They were cooperative and repaired the product within one day.  There was only a loose contact. We could have been spared of trouble of taking the product to the point and bring it back if they had service stations in our place
Read more"
19,"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",599.,4.2 out of 5 stars,"About this item    360 Degrees swivel cord. Steam Burst : No    American heritage coating non stick sole plate    Dual color    Safety plus thermal fuse    Other Comfort Features: Multiple Temperature Levels    Warranty: 2 years on product    Power: 1000 watts, Frequency: 50 Hz, Power Input: 230 V ; Indicator light for on and off ; Automatic Shut Down and Temperature Control ; Cord length: 1.7m","Good product to use daily
Read more"
20,"BAJAJ PYGMY MINI 110 MM 10 W HIGH SPEED OPERATION, USB CHARGING, MULTI-CLIP FUNCTION PERSONAL FAN","1,035.",4.1 out of 5 stars,"About this item    It is designed with Multi-Utility Clamp Mechanism; Enables table as well as wall operation    Easy charging compatibility with existing power cables    Li-Ion Battery with 4 hours’ battery backup provides continual operation during power cut and uninterrupted air delivery    With a size of 158 L x 95 W x 204 H MM, it gives instant comfort with high speed operation and high air thrust.    Mounting Type: Tabletop; Material Type: Plastic","I am using it for a month and I am happy with the performance . It give 4hrs backup on low speed i.e speed 1It takes long time to charge . I think battery backup should be increased in upcoming versions and the size of fan blade is slightly small . I am a student and I use it during studies , it helps a lot during studies in temperature of 43°C . For 1500 rs best fan .
Read more"
21,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coffee, Oats, Noodles, Soup etc. 600 Watt (Black & Silver)","1,390.",3.8 out of 5 stars,"About this item    Warranty: 1 year on product    Power: 600 watts ; Power: 230v,50HzAC ; Operating Mode: Corded    Includes: Kettle    360 degree swivel base    Cool touch handle and lid knob","This is excellent! You do have to read the instructions to set things up as it is not as intuitive as you might think.
Read more"
22,"AGARO Regal 800 Watts Handheld Vacuum Cleaner, For Home Use, Dry Vacuuming, 6.5 kPa Suction power, Lightweight, Lightweight & Durable Body, Small/Mini Size ( Black)","1,549.",4.0 out of 5 stars,"About this item    Efficient 800W motor, 6.5 kPa suction    Durable ABS & compact body    Crevice nozzle to clean Hard-To-Reach areas    0.8 Ltr dust collecting capacity    Equipped with multiple cleaning brushes    5 Metres long cord for uninterrupted cleaning    Warranty 1 Year for any further query please call our customer care on 9821486487 or write to us at info@u","Good product,all parts recieved, didn't open it and try it, I want to return it as it is incompatible for my need. I need a battery operated chargeable one for my car
Read more"
